Language Code,Language Name,Sphere,ID,YouTubeURL,,,,transcript,Q1,Q2,Q3,Q4,CallToAction,
ENG,English,FAM,FAM-04,https://youtu.be/6mvjpD6b970,,,,"Number 4: God is a Faithful Husband to an Unfaithful People.
This concept comes from Hosea 3:1. Then the Lord said to me (this is Hosea the prophet talking) go and love your wife again. Even though she commits adultery with another lover. This will illustrate that the Lord still loves Israel, even though the people have turned to other gods and love to worship them.
Hosea had a very painful life. He was a man of God, he loved God and he loved his wife, but his wife was unfaithful to him. And he thought, what should I do? Should I divorce her? Or should I leave her? And God said keep loving her, because all my people are unfaithful and I keep loving them. Faithful loyalty and unconditional commitment are hallmarks of God's relationship with us. And they should be the things that characterize the relationship between a husband and wife. It models what family is supposed to be like. God loves us relentlessly. Even when we don't reciprocate. Even when we don't respond in kind, he keeps on loving us. This is remarkable. And this is what family love is supposed to look like. Does it look like that in your family? How can we change it? How can we love more? How we can be imitators of God in our family. This is what we're trying to learn how to do. As we look at this very foundational sphere in our society.",Reflect on how God has shown you unconditional love.,"Are there aspects of your culture that undermine loyalty and commitment in relationships and how can you pray for change? 
",,,What will be your first action after learning this?,How could you imitate God's faithful love in your relationships?
ENG,English,FAM,FAM-05,https://youtu.be/pnjUWbs_JYQ,,,,"Number 5: God Desires to Bless All Families.
This is amazing. We find this in Genesis 12:1- 3. This is God's very first statement to Abraham. It says this, the Lord said to Abram, leave your native country, your relatives and your father's family, and go to the land that I will show you. I will make you into a great nation. I will bless you and make you famous. And you will be a blessing to others. I will bless those who bless you and curse those who treat you with contempt. All the families on earth will be blessed through you. 
You know, Abraham is considered the father of faith. He's the one who's the head of the story for Christians and Jews and Muslims alike. And he is a heroic man who knew God. His story starts off sounding like God's anti-family. Leave your father, leave your relatives, then we head out to something new. But that sacrifice, his family sacrifice, was intended to bring great blessing to all families.
Right from the very beginning, in this first statement we see that God's focus is on family. And his purpose is to see families blessed.
It’s interesting. In this passage having blessed families is the foundation for becoming a great nation. By focusing on families as God has, we can see the strategic place for this institution in our societies and our cultures. Are we giving it enough importance? Are we really valuing families? If we don’t emphasize this sufficiently, we will suffer cultural harm. Our societies will crumble. We'll not be the blessed people God wants us to be. This is not true for just one culture. It's true for every family on earth, throughout the globe. This is God's purpose. Whatever your culture, whatever your nation, whatever your language, family is to be the foundation for blessing.",How has your family experienced God's blessing?,Why does God want every family blessed?,,,How has today's information inspired you to act?,What can you do to be a blessing to families in your community?
ENG,English,FAM,FAM-06,https://youtu.be/YnRpv9yy0xc,,,,"Number 6: God Chooses Abraham to Train His Children.
We read this in Genesis 18:18-19. For Abraham will certainly become a great and mighty nation. And all the nations of the earth will be blessed through him. I've singled him out so that he will direct his sons and their families to keep the way of the Lord by doing what is right and just. Then I will do for Abraham all that I have promised.
Have you ever wondered why did God choose Abraham of all people? Why him? I mean, he was from a pagan culture, living in a pagan land. Around him was idolatry. Why was Abraham selected? The key is found in this phrase here. He says, I have singled him out ""so that"". Other translations say, ""because""; so whether it's ""so that"" or ""because"" we get something really key. Its either the reason he's selected him because he's going to train his children or, or the purpose, because he could see that he was going to train his children. So whether it's the reason or the purpose of God's selection, the heart of God's eyes on Abraham was he knew that he was going to live for the next generation. Living for the wellbeing of your children and the next generation, investing in them, pouring yourself into them, equipping them for life. This is what pleases God, this is what draws his attention. So that's someone I want to have. That's what I can choose. I can select. I can use. Let's make the next generation our focus and investment.",What are practical ways you can take to train and equip the next generation?,Why is multi-generational investment so pleasing to God?,,,"In light of today's lessons, what will you do differently?",What could improve if education was more parent-driven?
ENG,English,FAM,FAM-07,https://youtu.be/U1i1vNs8_j0,,,,"Number 7: God is Our Home
I loveNumber seven: Psalm 90:1 says, God is Our Home. Let me read that passage: Lord, through all the generations you have been our home.
What an amazing statement. Home is the place of security, of identity, of belonging; a destiny-shaping place characterized by acceptance. A place where we're surrounded by a supportive and loving environment. This is what God is to us. We've been drawn into the Trinitarian family, into the Godhead -- Father, Son, and Holy Spirit. They've included us in their circle of love, an unbroken, indescribable love, and they've made us family. His family. Adopting us into that intimacy of relationship. When we walk with the Father, with the Son and with the Spirit, we are home.",Reflect on how God has been a secure home for you.,"
How could society benefit from people finding their security in God?",,,What move are you inspired to make following today's session?,How does finding your home in God shape your identity?
ENG,English,FAM,FAM-08,https://youtu.be/tfyNifvFd7k,,,,"Number 8: God First. All Else Second. 
This comes from Genesis 22:1-18. I'm going to read just a few selections from this passage. But this is the story of when God asked Abraham to take his son, Isaac who's 12 years old, and offer him up as a sacrifice. And at the last moment, God stops his hand and Isaac is saved and a ram is sacrificed in his place. The place where this happened was Mount Moriah, a place which would later be where the temple was built. And later, near where Jesus died.
""Don't lay a hand on the boy,"" the angel said, ""do not hurt him in any way, for now I know that you truly fear God, you have not withheld from Me even your son, your only son. 
(And that phrase, I just had to interrupt the reading to say, it certainly sounds like God's son. God's only son who actually went through and gave his life for us in the very near proximity to this place.)
The angel went on to say, …because you have obeyed me and have not withheld even your son, your only son, I swear, by my own name that I will certainly bless you. I will multiply your descendants beyondNumber like the stars of the sky, the sand on the seashore. Your descendants will conquer the cities of their enemies. And through your descendants, all the nations of the earth will be blessed — all because you have obeyed me.
You know, sometimes you hear people say with good intention: God first, family second, and ministry, or work or professional vocation that comes third. Though it is well intentioned, this is not biblical. The biblical story is simply this: God first. Period. Everything else, you simply have to listen to God. You have to hear and obey. And at times you, you make sacrifices. You relinquish a promotion in your workplace because your family needs you more at home at that time. And other times, as a family, you choose to make a sacrifice to accomplish some task that is needful, but you don't make an idol of either family or ministry/work/vocation.
Both were given by God, to Adam, in Genesis 2. God gave Adam a job He actually gave him two jobs. One to tend to the garden, that’s a production job, an agricultural gardening job. He also gave him a scientific research job to name the animals, to classify them and give them the appropriate nomenclature. So, he was actually given two jobs. And then in the process of doing that, it became apparent that he needed help. And so, God also gave him a wife.
All of this is before the Fall and all needed to be yielded to God. God is the giver of the vocation. God is the giver of the spouse and everything we do is yielded in obedience to him.  When we've set our hearts to hear and obey God, we know when to focus on family and when to prioritize ministry. God will lead you as you listen to him.",Consider one way you will specifically seek and obey God first this week.,What does it looks like to make God your highest priority?,,,How will today's revelations influence your actions?,When have you had to sacrifice something good for God's best?
ENG,English,FAM,FAM-09,https://youtu.be/HCD1b9ZWxs8,,,,"Number 9: We Will Serve the Lord. 
Joshua 24:15. At the end of Joshua's remarkable long life he looks back on all the years that he walked with Moses, and the 40 years after that, and he challenged the people about their loyalty. Will they serve God or will they serve idols? And he goes through a long discourse. His concluding speech ends up with his famous statement: Whatever you decide… this is my choice. … as for me and my family, we will serve the Lord.
Serving God should not only be an individual activity. It should be a family activity. We do this corporately. We do this together and we can't make choices for one another, but we can choose together as a family to serve and follow and honor God.",How could you lead your family to serve God together more?,What would change in society if serving God was done as a family? ,,,What commitment will you make after today's learning?,"
How could your family serve the needs of your community? "
ENG,English,FAM,FAM-10,https://youtu.be/KAv0BLSp_3k,,,,"Number 10: Fight For Your Family.
This comes from Nehemiah 4:13-14. So I placed armed guards behind the lowest parts of the wall and exposed areas. I stationed the people to stand guard by families armed with sword, spears, and bows. And as I looked over the situation I called together the nobles and the rest of the people and said to them, don't be afraid of the enemy. Remember the Lord who was great and glorious and fight for your brothers, your sons, your daughters, your wives, and your homes. 
This is a story about them rebuilding the wall around Jerusalem after returning from exile. It was a precarious situation. And everyone was tasked to build that part of the wall that was nearest to their home. That was the motivation. We create security and we protect our families. And so that's why they did the construction. But at some times the construction was interrupted because enemies tried to come over those half-built walls. And so they had to take a very active posture. It's worth fighting for your family. Family is valuable. Families are a treasure. We need to honor it. We need to keep it. We need to protect it.",How have you had to protect or fight for your family?,What is the importance of guarding and strengthening family relationships?,,,"Based on what you learned today, what goal will you set?",
ENG,English,FAM,FAM-CAT-2,https://youtu.be/cVYqfUWVqQs,,,,"SECTION INTRODUCTION
This next section we're going to look at is about biblical principles for husbands and wives. It involves 12 different passages. And this really is the heart of family. It is the volitional part. You can't choose your parents, but you do choose your spouse. And, so when you do, that choice is a choice to love, a choice to give yourself in service and caring for someone else. And that choice to love is the foundation for family. It's the beginning of family. It really is the heart of family. So let's look at this.",,,,,,
ENG,English,FAM,FAM-11,https://youtu.be/Yeh314vVsq0,,,,"Number 11: God Creates Eve and Institutes Marriage.
We read this in Genesis 2:18,21-25. Here are a few selections. Then the Lord God said, ""It is not good for man to be alone. I will make a helper who is just right for him.""... Then the Lord God made a woman from the rib, and he brought her to the man. ""At last!"" the man exclaimed. ""This one is bone from my bone and flesh from my flesh! She will be called 'woman' because she was taken from 'man.'"" This explains why a man leaves his father and mother, and is joined to his wife, and the two are united into one...
There are several things here that need to be said because we, in many of our cultures, we have distorted views on gender and the roles between men and women. Some have said, well, the Bible teaches that man, Adam was created first and then woman. So man is definitely superior, should always be in first place. They missed the point. Before Adam was created, donkeys and frogs were. So if first means more valuable, then frogs make the top of the list. Seemed like God was always going from good to better to best. In fact, the only time in the whole creation story of chapters one and two that God says something was not good is after he made Adam and before he had made Eve. And when they were both together, he said it was very good. Go figure. Okay.
The other thing that is often misunderstood, he says, I will make a helper. Like when we think helper, we kind of think of like maybe an office assistant someone who is not as important as the boss. But that's not what the Bible is talking about.
Think about it this way. When you were having struggles with math in school and you were coming up to a big test and you needed someone to help you, who did you look for among your classmates? The smartest person or the dumbest person to help you? The smartest, right? You wanted good help, not lousy help.
Or perhaps you are very scrawny and weak and bully of the school would beat you up on the way home from school every day. And you needed some help. Who do you find? Someone as scrawny and weak as you or someone big and strong? Of course, you look for the smart one and you look for the strong one. That's the kind of help we look for.
This Hebrew word for helper is 'ezer. It's found 21 times in the Old Testament. A couple of times is used for an ally, like a military army. Like Israel went down to Egypt and formed an alliance, so they would help them against an invading force. And they did that because they saw they had capacity that they didn't have. But that's just a few times. And except for this one instance, that's the only time it's just one individual. Every other time it is used to talk about God. Where does my help come from? Where does my 'ezer come from? My help, my 'ezer comes from the Lord. And he is our Ebenezer, the one who's helped us up to this point. So this is a very strong word. It literally means a strong savior.
So woman is to be highly valued, highly regarded. And when Adam sees her for the first time he breaks into poetry. It is the first poetic literature in the Bible. Bone from my bone and flesh from my flesh. She is to be a full companion that that comes from his side, not from the bones from his feet so he can step on her or from her brain so she can dominate over him. They'll be side by side together in life. And God institutes marriage as it’s supposed to be: always together for all time.",Reflect on ways your view of marriage should align more closely with God's pattern.,How does your community benefit from guarding and strengthening marriage relationships?,,,How will you transform today's knowledge into action?,
ENG,English,FAM,FAM-12,https://youtu.be/p4AEBlqOlE0,,,,"Number 12: Ideal Marriage Pattern is Given to Priests.
We read about this in Leviticus 21:7, 13-15. Here's some selections. Priests may not marry a woman defiled by prostitution, and they may not marry a woman who's divorced from her husband, for the priests are set apart as holy to their God… The high priest may marry only a virgin. He may not marry a widow, a woman who's divorced, or a woman who defiles herself by prostitution. She must be a virgin from her, his own clan so that he will not dishonor his descendants among his clan for, I am the Lord who makes him holy.
Now this is an interesting passage because we don't find any place in the Bible where it says to all people, you can only marry a virgin. So people said, well, see, premarital sex is okay. That's not the case. This is given to the priest and the high priest as who those are to model the ideal within the culture of how you should live. They are called to live the most righteously, the most holy way. That's the word that this finishes off. The ideal is stated in hopes that as people aspire toward it that it becomes normative. It is the best, what people aspire to. This is the ultimate, the most desirable form of marriage. It's not imposed on all, but given as a dream to inspire all, to shoot high, to shoot for this standard so that we would all walk with great integrity in our marriage and our live up to our marriage.
Now at the same time, God knows there's a lot of brokenness in the world. So there are lots of stories of redemption in the Bible. When we didn't live up to the dream, when we’ve failed, when we did things that we ought not to have done, and our dreams have been broken: we have the story of a God who comes to rewrite our story because he's a Redeemer.",Why is it important to value puriy and faithfulness?,How can married couples mentor youth in goldy relationships?,,,"In response to today's learning, what changes will you implement?",
